LINGO出错时错误代码含义
LINGO出错时错误代码含义：
      在LINGO程序求解时，系统首先会对程序进行编译．系统在编译或执行其他命令
时，会因程序中的错误或运行错误，弹出一个出错报告窗口，显示其错误代码，并简要指
出错误的原因．这些错误报告信息能够提示用户发现程序中的错误，以便能尽快修改．下
面我们给出出错信息的一个简要说明，仅供参考．
LINGO错误编号及原因对照表
错误代码      含义      
0      LINGO模型生成器的内存已经用尽(可用“LINGO|Options"命令对General Solver
选项卡中的“Generator Memory Limit"选项进行内存大小的修改)      
1      模型中的行数太多(对于有实际意义的模型，这个错误很少出现)      
2      模型中的字符数太多(对于有实际意义的模型，这个错误很少出现)      
3      模型中某行的字符数太多(每行不应该超过200个字符，否则应换行)      
4      指定的行号超出了模型中实际具有的最大行号(这个错误通常在LOOK命令中指定
了非法的行号时出现)      
5      当前内存中没有模型      
6      脚本文件中TAKE命令的嵌套重数太多(LINGO中限定TAKE命令最多嵌套10次)      
7      无法打开指定的文件(通常是指定的文件名拼写错误)      
8      脚本文件中的错误太多，因此直接返回到命令模式(不再继续处理这个脚本文件)      
9      (该错误编号目前没有使用)      
10      (该错误编号目前没有使用)      
11      模型中的语句出现了语法错误(不符合LINGO语法)      
12      模型中的括号不匹配      
13      在电子表格文件中找不到指定的单元范围名称      
14      运算所需的，临时堆栈空间不够(这通常意味着模型中的表达式太长了)      
15      找不到关系运算符(通常是丢了“<”，“＝”或“>”)      
16      输入输出时不同对象的大小不一样(使用集合循环方式输入输出时，集合大小应
相同)      
17      集合元素的索引的内存堆栈空间不够      
18      集合的内存堆栈空间不够      
19      索引函数@INDEX使用不当      
20      集合名使用不当      
21      属性名使用不当          
22      不等式或等式关系太多(例如，约束2<x<4是不允许出现在同一个语句中的)      
23      参数个数不符      
24      集合名不合法      
25      函数@WKX()的参数非法(注：在LING09.0中已经没有函数@WKX())      
26      集合的索引变量的个数不符      
27      在电子表格文件中指定的单元范围不连续      
28      行名不合法      
29      数据段或初始段的数据个数不符      
30      链接到Excel时出现错误      
31      使用@TEXT函数时参数不合法      
32      使用了空的集合成员名      
33      使用@OLET函数时参数不合法      
34      用电子表格文件中指定的多个单元范围生成派生集合时，单元范围的大小应该一
致      
35      输出时用到了不可识别的变量名      
36      基本集合的元素名不合法      
37      集合名已经被使用过      
38      ODBC服务返回了错误信息      
39      派生集合的分量元素(下标)不再原来的父集合中      
40      派生集合的索引元素的个数不符      
41      定义派生集合时所使用的基本集合的个数太多(一般不会出现这个错误)      
42      集合过滤条件的表达式中出现了取值不固定的变量      
43      集合过滤条件的表达式运算出错      
44      过滤条件的表达式没有结束(即没有“:”标志)      
45      @ODBC函数的参数列表错误      
46      文件名不合法      
47      打开的文件太多      
48      不能打开文件      
49      读文件时发生错误      
50      @FOR函数使用不合法      
51      编译时LINGO模型生成器的内存不足      
52      @IN函数使用不当      
